                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.87051,                  1.119,                0.70383,                0.91112,                0.99299,                      1,                  0.995,                0.74845,                0.99299,                      1,                  0.995,                0.74534,                0.95101,                 1.2876,                0.70561,                0.92111,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86314,                 1.1769,                0.69036,                0.94983,                0.99364,                      1,                  0.995,                0.74736,                0.99364,                      1,                  0.995,                0.75513,                0.98891,                 1.3014,                0.71561,                0.92477,              0.0006734,              0.0006734,              0.0006734
                     69,                0.75141,                0.89794,                 0.6102,                 0.8836,                0.99394,                      1,                  0.995,                 0.7132,                0.99394,                      1,                  0.995,                0.76398,                   1.02,                 1.2903,                0.68272,                0.92699,              0.0006536,              0.0006536,              0.0006536
                     70,                0.78664,                0.94301,                0.64023,                0.88005,                0.99423,                      1,                  0.995,                0.71198,                0.99423,                      1,                  0.995,                0.76992,                 1.0343,                 1.2755,                0.65693,                0.92926,              0.0006338,              0.0006338,              0.0006338
                     71,                0.77883,                0.93335,                0.62019,                0.89514,                0.99423,                      1,                  0.995,                0.69776,                0.99423,                      1,                  0.995,                0.75861,                 1.0316,                 1.2757,                0.64465,                0.93168,               0.000614,               0.000614,               0.000614
                     72,                0.81325,                0.90834,                0.60919,                0.92673,                0.99437,                      1,                  0.995,                0.72499,                0.99437,                      1,                  0.995,                0.76916,                 1.0003,                 1.2712,                0.63825,                0.92889,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81324,                0.88926,                0.64807,                 0.9093,                 0.9944,                      1,                  0.995,                0.75535,                 0.9944,                      1,                  0.995,                0.77699,                 0.9622,                 1.2378,                0.62932,                0.92066,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81664,                  0.955,                0.64947,                0.93206,                0.99415,                      1,                  0.995,                0.76846,                0.99415,                      1,                  0.995,                0.78091,                0.93159,                 1.1404,                0.63535,                0.92474,              0.0005546,              0.0005546,              0.0005546
                     75,                0.83908,                 1.0008,                 0.6277,                0.93507,                0.99432,                      1,                  0.995,                0.76485,                0.99432,                      1,                  0.995,                0.79379,                0.99232,                 1.1256,                0.65356,                0.94015,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85822,                  1.043,                0.66991,                0.90149,                 0.9943,                      1,                  0.995,                0.74213,                 0.9943,                      1,                  0.995,                0.77498,                 1.0386,                 1.1698,                0.65764,                0.95506,               0.000515,               0.000515,               0.000515
